Time,Open,High,Low,Close,Volume
2025-01-01 00:00:00,42150.00,42380.50,41890.25,42250.75,15234567890
2025-01-02 00:00:00,42250.75,43100.00,42100.00,42980.50,16543210987
2025-01-03 00:00:00,42980.50,43250.75,42500.00,42650.25,14325678901
2025-01-04 00:00:00,42650.25,42900.00,42200.50,42450.00,13456789012
2025-01-05 00:00:00,42450.00,43500.25,42350.00,43200.75,17654321098
2025-01-06 00:00:00,43200.75,44100.50,43000.00,43850.25,18765432109
2025-01-07 00:00:00,43850.25,44500.00,43600.75,44200.50,19876543210
2025-01-08 00:00:00,44200.50,44800.25,43900.00,44650.75,20123456789
2025-01-09 00:00:00,44650.75,45200.00,44400.50,44900.25,18234567890
2025-01-10 00:00:00,44900.25,45500.75,44600.00,45350.50,17345678901
2025-01-15 00:00:00,45350.50,46200.00,45100.25,45800.75,19456789012
2025-01-20 00:00:00,45800.75,47000.50,45500.00,46500.25,21567890123
2025-01-25 00:00:00,46500.25,47500.00,46200.75,47100.50,22678901234
2025-01-31 00:00:00,47100.50,48000.25,46800.00,47650.75,23789012345
2025-02-05 00:00:00,47650.75,48500.00,47300.50,48200.25,24890123456
2025-02-10 00:00:00,48200.25,49000.75,47900.00,48750.50,25012345678
2025-02-15 00:00:00,48750.50,49500.00,48400.25,49100.75,26123456789
2025-02-20 00:00:00,49100.75,50200.50,48800.00,49800.25,27234567890
2025-02-28 00:00:00,49800.25,51000.00,49500.75,50500.50,28345678901
2025-03-05 00:00:00,50500.50,52000.25,50100.00,51500.75,29456789012
2025-03-10 00:00:00,51500.75,53000.00,51000.50,52200.25,30567890123
2025-03-15 00:00:00,52200.25,54500.75,51800.00,54000.50,32678901234
2025-03-20 00:00:00,54000.50,55000.00,53500.25,54200.75,31789012345
2025-03-25 00:00:00,54200.75,54800.50,53000.00,53500.25,28890123456
2025-03-31 00:00:00,53500.25,54200.00,52800.75,53800.50,27012345678
2025-04-05 00:00:00,53800.50,55500.25,53500.00,55000.75,29123456789
2025-04-10 00:00:00,55000.75,57000.00,54600.50,56500.25,32234567890
2025-04-15 00:00:00,56500.25,58500.75,56000.00,58000.50,35345678901
2025-04-20 00:00:00,58000.50,60000.00,57500.25,59500.75,38456789012
2025-04-25 00:00:00,59500.75,61000.50,59000.00,60200.25,37567890123
2025-04-30 00:00:00,60200.25,62000.00,59800.75,61500.50,39678901234
2025-05-05 00:00:00,61500.50,63500.25,61000.00,63000.75,41789012345
2025-05-10 00:00:00,63000.75,65000.00,62500.50,64500.25,43890123456
2025-05-15 00:00:00,64500.25,66500.75,64000.00,66000.50,45012345678
2025-05-20 00:00:00,66000.50,68000.00,65500.25,67500.75,47123456789
2025-05-25 00:00:00,67500.75,69500.50,67000.00,69000.25,49234567890
2025-05-31 00:00:00,69000.25,70500.00,68500.75,70000.50,51345678901
2025-06-05 00:00:00,70000.50,71000.25,69000.00,69500.75,48456789012
2025-06-10 00:00:00,69500.75,70500.00,68500.50,69800.25,46567890123
2025-06-15 00:00:00,69800.25,71500.75,69200.00,71000.50,50678901234
2025-06-20 00:00:00,71000.50,72500.00,70500.25,72000.75,52789012345
2025-06-25 00:00:00,72000.75,73000.50,71000.00,71500.25,49890123456
2025-06-30 00:00:00,71500.25,72000.00,70000.75,70500.50,47012345678
